track,model,score,type,status,snapshot,source
RewardBench v1,INF-ORM-Llama3.1-70B,95.11,Seq. classifier,sota,Frozen official leaderboard,https://huggingface.co/spaces/allenai/reward-bench
RewardBench v1,LDL-Reward-Gemma-2-27B-v0.1,94.99,Seq. classifier,reference,Frozen official leaderboard,https://huggingface.co/spaces/allenai/reward-bench
RewardBench v1,QRM-Gemma-2-27B,94.44,Seq. classifier,reference,Frozen official leaderboard,https://huggingface.co/spaces/allenai/reward-bench
RewardBench v1,Skywork-Reward-Gemma-2-27B-v0.2,94.26,Seq. classifier,reference,Frozen official leaderboard,https://huggingface.co/spaces/allenai/reward-bench
RewardBench v1,Llama-3.1-Nemotron-70B-Reward,94.11,Custom classifier,reference,Frozen official leaderboard,https://huggingface.co/spaces/allenai/reward-bench
RewardBench v1,TextEval-Llama3.1-70B,93.48,Generative,reference,Frozen official leaderboard,https://huggingface.co/spaces/allenai/reward-bench
RewardBench v1,Jev 1.13,92.58,Generative API judge,jev,Frozen official leaderboard,local evaluation
RewardBench 2,Skywork-Reward-V2-Llama-3.1-8B,84.10,Seq. classifier,sota,Official snapshot 2025-12,https://huggingface.co/collections/allenai/reward-bench-2
RewardBench 2,LMUnit-Qwen2.5-72B,82.10,Generative,reference,Official snapshot 2025-12,https://huggingface.co/collections/allenai/reward-bench-2
RewardBench 2,Jev 1.13,81.15,Generative API judge,jev,Official snapshot 2025-12,local evaluation
RewardBench 2,LMUnit-Llama3.1-70B,80.50,Generative,reference,Official snapshot 2025-12,https://huggingface.co/collections/allenai/reward-bench-2
RewardBench 2,PGRM,80.00,Seq. classifier,reference,Official snapshot 2025-12,https://huggingface.co/collections/allenai/reward-bench-2
RewardBench 2,Gemini-2.5-Pro,79.50,Generative,reference,Official snapshot 2025-12,https://huggingface.co/collections/allenai/reward-bench-2
RewardBench 2,Skywork-Reward-V2-Qwen3-8B,78.40,Seq. classifier,reference,Official snapshot 2025-12,https://huggingface.co/collections/allenai/reward-bench-2
RM-Bench pairwise,Skywork-Reward-V2-Llama-3.1-8B-40M*,96.00,Scalar RM,sota,Public leaderboard 2026-07,https://github.com/THU-KEG/RM-Bench-Leaderboard
RM-Bench pairwise,Skywork-Reward-V2-Llama-3.1-8B*,92.80,Scalar RM,reference,Public leaderboard 2026-07,https://github.com/THU-KEG/RM-Bench-Leaderboard
RM-Bench pairwise,REWARDANYTHING-8B,86.40,Reasoning GenRM,reference,Public leaderboard 2026-07,https://github.com/THU-KEG/RM-Bench-Leaderboard
